handleId,fieldType,name,description,productImageUrl,collection,sku,price,inventory,weight,visible,ribbon,surcharge,discountMode,discountValue,productOptionName,productOptionType,productOptionDescription,additionalInfoTitle,Additional info description,customTextField,customTextCharLimit,customTextMandatory
beach_30,Product,Live in the sunshine,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_30.jpg,beach,beach_30,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_31,Product,Make a Wish upon a Starfish,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_31.jpg,beach,beach_31,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_32,Product,Make a wish upon ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_32.jpg,beach,beach_32,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_33,Product,Meet me at the beach,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_33.jpg,beach,beach_33,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_34,Product,Memories made at ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_34.jpg,beach,beach_34,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_35,Product,My heart belongs to the sea,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_35.jpg,beach,beach_35,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_36,Product,My heart is at the ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_36.jpg,beach,beach_36,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_37,Product,No crabby attitudes,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_37.jpg,beach,beach_37,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_38,Product,Nobody likes a Shady Beach,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_38.jpg,beach,beach_38,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_39,Product,Nothing soothes ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_39.jpg,beach,beach_39,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_40,Product,Please do not feed the ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_40.jpg,beach,beach_40,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_41,Product,Running on coffee and beach ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_41.jpg,beach,beach_41,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
